"Employee ID","User Access","Last Name","Middle Name","First Name","Marital Status","Home Address","Current Address","Birthday","Gender","Nationality","Shirt Size","Email Address","Mobile Number","Hired On","Employment Type","Position","Division","Group","Line","Department","Section","Image File","SSS Number","Pagibig","Philhealth","TIN","Drivers License","National ID","Passport","HMO","HMO Number","Salary Rate","Salary Type"
"ABC00008","Staff","Wilson","Rose","Sophia","Married","333 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","334 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","22/07/1990","Male","Filipino","M","wilson@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","17-27182818-92","4321-4567-8090","9394-7353-7864","93-68525986-22","18-69583256-33","67-88888888-42","95-35982568-16","0","918-87726-04","20000","Monthly"
"ABC00009","Staff","Anderson","Alexander","Aiden","Married","222 Papaya Drive, Barangay Talamban, Cebu City, Cebu","223 Papaya Drive, Barangay Talamban, Cebu City, Cebu","23/07/1990","Male","Filipino","M","anderson@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","18-77777777-91","9876-4567-8090","9495-8464-8975","10-59238656-83","32-25896352-56","68-99999999-41","02-82593658-38","0","919-87726-04","20000","Monthly"
"ABC00010","Staff","Taylor","Olivia","Isabella","Married","111 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","112 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","24/07/1990","Male","Filipino","M","taylor@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","19-88888888-90","5432-4567-8090","9596-9575-9086","16-89526395-35","41-36598526-78","69-11111111-40","17-96523825-41","0","920-87726-04","30000","Monthly"
"ABC00011","Staff","Thomas","David","Lucas","Married","999 Durian Street, Barangay Ayala Alabang, Muntinlupa City, Metro Manila","1000 Durian Street, Barangay Ayala Alabang, Muntinlupa City, Metro Manila","25/07/1990","Male","Filipino","M","thomas@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","20-99999999-89","7654-4567-8090","9697-0686-0197","27-36585928-48","58-95863259-91","70-22222222-39","25-82596532-63","0","921-87726-04","30000","Monthly"
"ABC00012","Accounting","Jackson","Nicole","Mia","Married","888 Guava Court, Barangay Guadalupe, Cebu City, Cebu","889 Guava Court, Barangay Guadalupe, Cebu City, Cebu","26/07/1990","Male","Filipino","M","jackson@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","21-11111111-88","2468-4567-8090","9798-1797-1208","38-96528653-59","68-69583258-14","71-33333333-38","34-63592856-86","0","922-87726-04","30000","Monthly"
"ABC00013","Accounting","White","Thomas","Caden","Single","777 Avocado Road, Barangay Lahug, Cebu City, Cebu","778 Avocado Road, Barangay Lahug, Cebu City, Cebu","27/07/1990","Male","Filipino","M","white@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","22-22222222-87","1357-4567-8090","9899-2808-2319","49-32585968-71","75-85362598-36","72-44444444-37","45-89256359-98","0","923-87726-04","30000","Monthly"
"ABC00014","Accounting","Harris","Victoria","Charlotte","Single","666 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","667 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","28/07/1990","Male","Filipino","M","harris@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","23-33333333-86","8642-4567-8090","9900-3919-3420","57-98526359-93","89-92583652-59","73-55555555-36","54-53962586-21","0","924-87726-04","30000","Monthly"
"ABC00015","Accounting","Martin","Joseph","Elijah","Single","555 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","556 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","29/07/1990","Male","Filipino","M","martin@example.com","","22/06/2022","Project Based","Driver","Administration","Warehouse","Line 2","Accounting","QA Control","","24-44444444-85","5192-4567-8090","0001-4020-4531","64-86525938-26","97-36598523-71","74-66666666-35","66-89526325-44","0","925-87726-04","30000","Monthly"
"ABC00016","Accounting","Thompson","Claire","Amelia","Single","444 Mango Street, Barangay Lahug, Cebu City, Cebu","445 Mango Street, Barangay Lahug, Cebu City, Cebu","30/07/1990","Male","Filipino","M","thompson@example.com","","22/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 2","Accounting","QA Control","","25-55555555-84","2785-4567-8090","0203-6242-6753","78-92536586-57","09-89526356-93","75-12345678-34","73-32598652-66","0","926-87726-04","30000","Monthly"
"ABC00017","Accounting","Garcia","Christopher","Benjamin","Single","333 Apple Drive, Barangay Talamban, Cebu City, Cebu","334 Apple Drive, Barangay Talamban, Cebu City, Cebu","31/07/1990","Male","Filipino","M","garcia@example.com","","23/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 2","Accounting","QA Control","","26-66666666-83","6214-4567-8090","0304-7353-7864","89-62598653-69","24-53928562-16","76-87654321-33","86-58623598-89","0","927-87726-04","30000","Monthly"
"ABC00018","Accounting","Martinez","Emily","Harper","Single","222 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","223 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","01/08/1990","Male","Filipino","M","martinez@example.com","","24/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 2","Accounting","QA Control","","27-12345678-82","3928-4567-8090","0405-8464-8975","91-29586325-74","36-92856325-38","77-13579246-32","90-69583256-11","0","928-87726-04","30000","Monthly"
"ABC00019","Accounting","Robinson","Andrew","Mason","Single","111 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","112 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","02/08/1990","Male","Filipino","M","robinson@example.com","","25/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 2","Accounting","QA Control","","28-87654321-81","8042-4567-8090","0506-9575-9086","05-86925368-19","49-35982568-41","78-24681357-31","06-25896352-33","0","929-87726-04","30000","Monthly"
"ABC00020","Accounting","Clark","Sophia","Evelyn","Single","999 Papaya Drive, Barangay Talamban, Cebu City, Cebu","1000 Papaya Drive, Barangay Talamban, Cebu City, Cebu","03/08/1990","Male","Filipino","M","","","26/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 2","Accounting","QA Control","","29-13579246-80","1579-4567-8090","0607-0686-0197","14-95863259-41","25-82596532-63","79-98765432-30","19-36598526-56","0","930-87726-04","30000","Monthly"
"ABC00021","Accounting","Rodriguez","William","Oliver","Single","888 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","889 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","04/08/1990","Male","Filipino","M","rodriguez@example.com","","27/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","30-24681357-79","9362-4567-8090","0708-1797-1208","23-69583256-66","34-63592856-86","80-31415926-29","26-95863259-78","0","931-87726-04","30000","Monthly"
"ABC00022","Accounting","Lewis","Harper","Abigail","Single","777 Durian Street, Barangay Ayala Alabang, Muntinlupa City, Metro Manila","778 Durian Street, Barangay Ayala Alabang, Muntinlupa City, Metro Manila","05/08/1990","Male","Filipino","M","lewis@example.com","","28/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","31-98765432-78","8451-4567-8090","0809-2808-2319","31-85625983-88","45-89256359-98","81-27182818-28","37-69583258-91","0","932-87726-04","30000","Monthly"
"ABC00023","Accounting","Lee","Robert","Alexander","Single","666 Guava Court, Barangay Guadalupe, Cebu City, Cebu","667 Guava Court, Barangay Guadalupe, Cebu City, Cebu","06/08/1990","Male","Filipino","M","lee@example.com","","29/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","32-31415926-77","7039-4567-8090","0910-3919-3420","46-58623589-11","54-53962586-21","82-77777777-27","50-85362593-14","0","933-87726-04","30000","Monthly"
"ABC00024","Accounting","Walker","Ava","Emily","Single","555 Avocado Road, Barangay Lahug, Cebu City, Cebu","556 Avocado Road, Barangay Lahug, Cebu City, Cebu","07/08/1990","Male","Filipino","M","walker@example.com","","30/06/2022","Project Based","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","33-27182818-76","6975-4567-8090","1011-4020-4531","52-82693558-32","66-89526325-44","83-88888888-26","59-92583652-36","0","934-87726-04","30000","Monthly"
"ABC00025","Accounting","Hall","Daniel","William","Single","444 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","445 Watermelon Lane, Barangay Banilad, Cebu City, Cebu","08/08/1990","Male","Filipino","M","hall@example.com","","01/07/2022","Project Based","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","34-77777777-75","4562-4567-8090","1112-5131-5642","63-35958268-54","73-32598652-66","84-99999999-25","74-36598523-59","0","935-87726-04","200","Daily"
"ABC00026","Administrator","Allen","Lily","Elizabeth","Single","333 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","334 Pine Street, Barangay Poblacion, Davao City, Davao del Sur","09/08/1990","Male","Filipino","M","allen@example.com","","02/07/2022","Probationary","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","35-88888888-74","2987-4567-8090","1213-6242-6753","71-69583582-76","86-58623598-89","85-11111111-24","80-89526356-71","0","936-87726-04","200","Daily"
"ABC00027","Administrator","Young","Benjamin","James","Divorced","222 Mango Street, Barangay Lahug, Cebu City, Cebu","223 Mango Street, Barangay Lahug, Cebu City, Cebu","10/08/1990","Male","Filipino","M","young@example.com","","03/07/2022","Probationary","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","36-99999999-73","6874-4567-8090","1314-7353-7864","87-25869536-98","90-69583256-11","86-22222222-23","94-53928562-93","0","937-87726-04","30000","Monthly"
"ABC00028","Administrator","Hernandez","Amelia","Sofia","Divorced","111 Apple Drive, Barangay Talamban, Cebu City, Cebu","112 Apple Drive, Barangay Talamban, Cebu City, Cebu","11/08/1990","Male","Filipino","M","hernandez@example.com","","04/07/2022","Probationary","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","37-11111111-72","1689-4567-8090","1415-8464-8975","92-59632856-23","06-25896352-33","87-33333333-22","99-92856325-16","0","938-87726-04","30000","Monthly"
"ABC00029","Administrator","King","Matthew","Henry","Divorced","999 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","1000 Banana Avenue, Barangay Ayala Center, Makati City, Metro Manila","12/08/1990","Male","Filipino","M","king@example.com","","05/07/2022","Probationary","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","38-22222222-71","9874-4567-8090","1516-9575-9086","04-83592586-45","19-36598526-56","88-44444444-21","08-35982568-38","0","939-87726-04","30000","Daily"
"ABC00030","Administrator","Wright","Abigail","Avery","Divorced","888 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","889 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","13/08/1990","Male","Filipino","M","wright@example.com","","06/07/2022","Probationary","Assistant Supervisor","IT","Internal","Line 4","Sales","Assembly","","39-33333333-70","3245-4567-8090","1617-0686-0197","11-26935852-68","26-95863259-78","89-55555555-20","20-82593658-41","0","940-87726-04","40000","Monthly"
"ABC00031","Administrator","Lopez","Charles","Sebastian","Divorced","777 Papaya Drive, Barangay Talamban, Cebu City, Cebu","778 Papaya Drive, Barangay Talamban, Cebu City, Cebu","14/08/1990","Female","Filipino","S","lopez@example.com","","07/07/2022","Probationary","Supervisor","Sales","Packaging","Line 4","Sales","Assembly","","40-44444444-69","8407-4567-8090","1718-1797-1208","22-85362598-79","37-69583258-91","90-66666666-19","29-96523825-63","0","941-87726-04","40000","Monthly"
"ABC00075","Staff","Bennett","Lawrence","Aaron","Married","999 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","1000 Pineapple Road, Barangay Kapitolyo, Pasig City, Metro Manila","27/09/1990","Female","Filipino","L","bennett@example.com","","28/07/2022","Regular","Staff","Marketing","External","Line 3","Manufacturing","Material Control","","84-99999999-25","7532-4567-8090","6162-5131-5642","74-36598523-59","76-53928562-71","34-77777777-75","63-35958268-54","0","985-87726-04","18000","Monthly"
"ABC00076","Staff","Wood","Harper","Natalie","Married","888 Papaya Drive, Barangay Talamban, Cebu City, Cebu","889 Papaya Drive, Barangay Talamban, Cebu City, Cebu","28/09/1990","Female","Filipino","L","wood@example.com","","29/07/2022","Regular","Staff","Marketing","External","Line 3","Manufacturing","Material Control","","85-11111111-24","3285-4567-8090","6263-6242-6753","80-89526356-71","83-92856325-93","35-88888888-74","71-69583582-76","0","986-87726-04","18000","Monthly"
"ABC00077","Staff","Barnes","Joel","Adrian","Married","777 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","778 Coconut Lane, Barangay Poblacion, Makati City, Metro Manila","29/09/1990","Female","Filipino","L","barnes@example.com","09123456789","30/07/2022","Regular","Staff","Marketing","External","Line 3","Manufacturing","Material Control","","86-22222222-23","4501-4567-8090","6364-7353-7864","94-53928562-93","95-35982568-16","36-99999999-73","87-25869536-98","0","987-87726-04","18000","Monthly"
